Serial Port,Voltage (V),Average X,Average Y,Average Z
COM20,0.2643,-21.17,10.56,9.73
COM21,0.2643,-62.26,52.01,-95.87
COM16,0.4309,-31.99,14.64,-131.2
COM18,0.4309,-14.55,39.34,-7.96
COM19,0.4309,-20.45,-9.94,81.81
COM20,0.4309,28.87,-54.8,59.95
COM21,0.4309,-9.63,32.07,-116.96
COM16,0.0897,-34.73,-16.6,-83.63
COM18,0.0897,-25.23,30.37,-36.72
COM19,0.0897,-15.26,-16.66,-23.43
COM20,0.0897,22.79,-51.53,-38.32
COM21,0.0897,6.61,31.81,-64.47
COM16,0.6114,-32.55,33.84,-155.23
COM18,0.6114,3.65,46.11,9.72
COM19,0.6114,-71.94,-2.04,137.71
COM20,0.6114,-13.0,-52.54,114.3
COM21,0.6114,-62.81,34.18,-157.15
COM16,0.1518,-34.5,-10.51,-91.81
COM18,0.1518,-23.33,31.75,-31.9
COM19,0.1518,-15.97,-15.1,-4.09
COM20,0.1518,25.99,-56.31,-23.44
COM21,0.1518,3.87,31.89,-73.59
COM16,0.1997,-37.44,36.32,-87.1
COM18,0.1997,-16.51,18.43,-45.68
COM19,0.1997,-62.8,57.42,8.89
COM20,0.1997,-21.69,10.41,-10.27
COM21,0.1997,-59.02,51.7,-85.63
COM16,0.3716,-35.27,51.4,-111.68
COM18,0.3716,-11.33,22.8,-31.89
COM19,0.3716,-59.09,54.85,56.31
COM20,0.3716,-19.95,11.64,42.24
COM21,0.3716,-66.93,52.01,-112.36
COM16,0.1485,-36.94,-7.9,-88.45
COM18,0.1485,-11.67,32.09,-29.67
COM19,0.1485,-64.68,-12.03,-5.04
COM20,0.1485,-17.41,-55.84,-24.23
COM21,0.1485,-42.51,33.19,-84.85
COM16,0.2876,-36.35,44.09,-99.74
COM18,0.2876,-13.93,20.56,-38.41
COM19,0.2876,-64.25,58.99,36.27
COM20,0.2876,-20.84,10.89,16.78
COM21,0.2876,-63.24,52.09,-99.88
COM16,0.5609,-31.49,65.55,-139.61
COM18,0.5609,-17.23,27.77,-18.44
COM19,0.5609,-19.51,60.54,121.34
COM20,0.5609,25.53,11.5,98.01
COM21,0.5609,-29.44,50.22,-130.69
COM16,0.6778,-30.21,75.77,-156.64
COM18,0.6778,-13.62,30.57,-8.23
COM19,0.6778,-21.72,63.04,157.52
COM20,0.6778,26.82,12.58,134.47
COM21,0.6778,-34.85,50.47,-148.83
COM16,0.4221,-32.24,14.23,-130.15
COM18,0.4221,-14.79,39.07,-9.16
COM19,0.4221,-20.34,-10.23,79.57
COM20,0.4221,28.32,-55.15,57.15
COM21,0.4221,-9.06,32.05,-115.91
COM16,0.1098,-37.95,28.84,-74.84
COM18,0.1098,-19.39,15.54,-53.31
COM19,0.1098,-61.22,55.4,-19.63
COM20,0.1098,-22.45,9.54,-37.0
COM21,0.1098,-54.78,51.29,-72.57
COM16,0.2993,-35.97,7.08,-111.31
COM18,0.2993,-7.12,35.94,-17.51
COM19,0.2993,-66.77,-8.76,41.2
COM20,0.2993,-16.11,-55.13,21.58
COM21,0.2993,-48.37,33.41,-108.27
COM16,0.6693,-32.53,39.63,-163.38
COM18,0.6693,5.32,45.9,14.5
COM19,0.6693,-72.81,-0.3,155.24
COM20,0.6693,-12.51,-52.34,131.49
COM21,0.6693,-64.85,34.08,-166.81
COM16,0.2759,-36.76,43.37,-97.81
COM18,0.2759,-14.25,19.77,-39.33
COM19,0.2759,-63.99,58.86,32.81
COM20,0.2759,-20.98,11.1,13.41
COM21,0.2759,-62.65,51.76,-98.33
COM16,0.6304,-33.27,36.31,-158.01
COM18,0.6304,3.94,44.73,11.18
COM19,0.6304,-72.23,-1.95,143.05
COM20,0.6304,-12.78,-52.38,120.07
COM21,0.6304,-63.28,34.29,-160.64
COM16,0.1209,-38.14,29.27,-76.69
COM18,0.1209,-18.98,15.5,-52.02
COM19,0.1209,-61.53,55.7,-16.91
COM20,0.1209,-22.2,9.94,-33.82
COM21,0.1209,-55.38,51.77,-73.68
COM16,0.0139,-36.7,16.43,-63.13
COM18,0.0139,-34.02,12.44,-63.33
COM19,0.0139,-11.17,49.33,-49.89
COM20,0.0139,20.51,7.72,-67.14
COM21,0.0139,-5.82,49.96,-45.4
COM16,0.3076,-35.49,8.7,-107.48
COM18,0.3076,-6.7,36.13,-16.18
COM19,0.3076,-67.13,-8.95,44.04
COM20,0.3076,-15.89,-55.25,23.69
COM21,0.3076,-49.0,33.79,-110.04
COM16,0.2254,-33.84,-4.24,-102.17
COM18,0.2254,-20.98,33.93,-25.65
